headline,link,source
News,https://www.bbc.com/news,BBC
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt,BBC
War in Ukraine,https://www.bbc.com/news/war-in-ukraine,BBC
US & Canada,https://www.bbc.com/news/us-canada,BBC
UK,https://www.bbc.com/news/uk,BBC
Africa,https://www.bbc.com/news/world/africa,BBC
Asia,https://www.bbc.com/news/world/asia,BBC
Australia,https://www.bbc.com/news/world/australia,BBC
Europe,https://www.bbc.com/news/world/europe,BBC
Latin America,https://www.bbc.com/news/world/latin_america,BBC
